ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
NGC1259,1237661083199079031,49.3219483148068,41.3854210818072,3634,301,5,104,GALAXY,16.79914,14.79695,13.77714,13.3586,12.92435
2MASXJ03171358+4126082,1237661083199078963,49.3067191833777,41.435505219133,3634,301,5,104,GALAXY,17.66594,15.77122,14.84062,14.38814,14.05484
2MASXJ03222447+4128469,1237661055818858761,50.6019037072527,41.4798532232123,3628,301,2,107,GALAXY,17.19025,15.12806,14.1413,13.5954,13.17663
2MASXJ03220983+4143389,1237661060111336458,50.5410992146467,41.7273450918087,3629,301,2,69,GALAXY,17.87785,15.84378,14.89137,14.45096,14.07584
2MASXJ03171317+4139032,1237661055281594509,49.3050585513371,41.6509542592923,3628,301,1,101,GALAXY,17.55408,15.48728,14.46013,13.96748,13.568
2MASXJ03195440+4200526,1237661060111074117,49.9764795137487,42.0146657646622,3629,301,2,65,GALAXY,17.57034,15.53017,14.49802,13.94546,13.48396
IC0316NED01,1237661060111204890,50.3331335317799,41.9289843520376,3629,301,2,67,GALAXY,17.30129,15.40288,14.56775,14.11337,13.77911
2MASXJ03184727+4158500,1237661055818465917,49.6969855176877,41.9806120414406,3628,301,2,101,GALAXY,17.81126,15.99666,15.10452,14.66641,14.30272
IC0316,1237661060111204887,50.3329645562297,41.9318584310726,3629,301,2,67,GALAXY,16.47138,15.00329,14.26161,13.84016,13.42761
IC0316NED02,1237661060111204887,50.3329645562297,41.9318584310726,3629,301,2,67,GALAXY,16.47138,15.00329,14.26161,13.84016,13.42761
2MASXJ03175803+4154021,1237661059574137084,49.4917084123824,41.9004985954051,3629,301,1,64,GALAXY,17.77847,15.82143,14.91062,14.44789,14.08959
CGCG540-079,1237661055281594503,49.2651755689975,41.6336005137056,3628,301,1,101,GALAXY,18.33583,16.18885,15.11932,14.49459,14.08037
2MASXJ03183928+4159489,1237661055818465750,49.6637743826678,41.9971068173717,3628,301,2,101,GALAXY,18.05612,16.1123,15.17438,14.68529,14.33027
2MASXJ03170202+4137582,1237661055281594523,49.2583291008547,41.6329482606507,3628,301,1,101,GALAXY,20.49909,18.53687,17.48449,17.02047,16.74934
2MASXJ03183683+4101090,1237670457511249007,49.6536369146244,41.0192114930517,5817,301,2,244,GALAXY,17.42,15.51265,14.63899,14.19876,13.87425
UGC02626,1237661083199078715,49.2490384325056,41.3565969989387,3634,301,5,104,GALAXY,16.97932,14.89955,13.90296,13.40745,12.99668
2MASXJ03222170+4114299,1237661059574595783,50.5904926781996,41.2415948866742,3629,301,1,71,GALAXY,17.4831,15.44827,14.5003,14.04313,13.74261
LCSBS0541P,1237661055281988410,50.3391547703146,41.0246258212553,3628,301,1,107,GALAXY,18.28198,16.50913,15.65263,15.23571,14.95691
2MASXJ03202564+4204137,1237661060111138987,50.1068904699536,42.0703538554828,3629,301,2,66,GALAXY,18.97136,17.09279,16.16928,15.73701,15.36871
UGC02639,1237661055818400274,49.460023581535,41.9675946575428,3628,301,2,100,GALAXY,16.962,14.91311,13.9489,13.46574,13.11365
2MASXJ03172721+4155002,1237661059574072500,49.3634825294994,41.9166021596547,3629,301,1,63,GALAXY,17.75134,15.7887,14.85652,14.40383,14.03627
2MASXJ03221984+4108529,1237661059574596006,50.5828639622029,41.148055853671,3629,301,1,71,GALAXY,18.19598,16.19966,15.28266,14.84634,14.6702
2MASXJ03210436+4057169,1237661083199471975,50.2683354725255,40.954715723196,3634,301,5,110,GALAXY,18.07213,16.11364,15.22317,14.74087,14.4054
UGC02672,1237661083199406555,50.0216265369255,40.9062377938816,3634,301,5,109,GALAXY,16.67091,14.93286,14.19317,13.80316,13.49844
IC0310,1237661083199078708,49.1790722793694,41.3248987088024,3634,301,5,104,GALAXY,15.18933,13.36,12.32228,11.78011,11.45618
2MASXJ03165120+4115212,1237661083199079644,49.2134396761816,41.2557676931527,3634,301,5,104,GALAXY,17.87248,16.15117,15.30196,14.90214,14.60765
