ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
SDSSJ012125.60+331704.0,1237678892815418381,20.3567017006808,33.2844648329159,7781,301,2,67,GALAXY,24.90676,22.38183,20.88036,19.90368,19.43482
SDSSJ012407.94+324743.0,1237666214078055103,21.0330880043171,32.7952816742108,4829,301,2,160,STAR,21.76717,21.14015,20.43243,20.07086,19.66731
SDSSJ012151.53+325827.7,1237666214614991759,20.4647149496195,32.9743712550708,4829,301,3,161,GALAXY,25.60289,22.37307,20.60194,19.50642,18.91421
2MASSJ01225886+3248194,1237678892278743648,20.7454056853524,32.8055357554155,7781,301,1,70,GALAXY,21.2968,19.71097,18.18523,17.56639,17.18684
SDSSJ012537.93+332927.9,1237678893352682153,21.4080744089028,33.4911021249317,7781,301,3,73,GALAXY,23.18132,21.66518,20.32224,19.51121,18.83434
SDSSJ012131.78+332455.4,1237678806920069832,20.3824576548902,33.4153985718184,7761,301,2,128,GALAXY,22.18009,21.06643,19.15359,18.36885,18.01087
SDSSJ012141.46+330122.7,1237678806383263943,20.4227523403752,33.0228946647514,7761,301,1,129,STAR,20.42236,19.44564,18.99331,18.86149,18.75287
SDSSJ012239.91+324948.1,1237666214614925690,20.6663358989963,32.8300653421932,4829,301,3,160,STAR,20.50296,18.94252,18.33293,18.08824,18.00536
SDSSJ012217.42+325236.9,1237666214614991480,20.5725771289203,32.8769149640387,4829,301,3,161,GALAXY,26.58281,22.23393,20.45543,19.51803,18.97226
SDSSJ012530.36+333234.5,1237678893352681957,21.3765255107882,33.5429315712825,7781,301,3,73,GALAXY,25.32017,22.96624,20.55169,19.55668,19.10876
SDSSJ012251.18+334219.7,1237666214615319699,20.7132729230188,33.7054796427699,4829,301,3,166,GALAXY,23.30305,22.01708,20.34805,19.5213,19.07939
SDSSJ012234.56+324958.1,1237666214614925691,20.6440506476006,32.8328373282132,4829,301,3,160,STAR,22.52566,20.40623,19.80149,19.58603,19.4937
SDSSJ012413.06+324721.4,1237666214078054601,21.0544181872862,32.7892909855354,4829,301,2,160,GALAXY,23.62727,20.21848,18.88436,18.33422,17.98739
2MASSJ01243136+3248233,1237666214078054980,21.1309365585759,32.8065118600498,4829,301,2,160,GALAXY,24.76262,20.04382,18.50567,17.92332,17.49797
SDSSJ012558.77+331401.8,1237678892815877128,21.4949077826907,33.2338749051288,7781,301,2,74,GALAXY,22.37114,22.47793,20.5639,19.11969,18.52669
SDSSJ012129.62+332535.1,1237678806920069806,20.3734316807178,33.4264175971592,7761,301,2,128,GALAXY,22.78069,21.09541,19.34771,18.61681,17.99385
2MASSJ01242790+3342437,1237666214078448165,21.1163055344901,33.7121759334663,4829,301,2,166,GALAXY,22.34218,20.36702,18.6196,18.00671,17.58405
SDSSJ012443.09+324921.4,1237678892278875033,21.1795583053069,32.8226159343833,7781,301,1,72,GALAXY,24.05,21.79019,20.37508,19.75278,19.32613
2MASSJ01242139+3247186,1237666214078054967,21.0891326737937,32.788509107898,4829,301,2,160,GALAXY,21.82749,20.02624,18.46226,17.88109,17.44904
2MASSJ01243631+3248235,1237666214078120391,21.1514050747104,32.8065685708006,4829,301,2,161,GALAXY,21.21528,19.5429,18.17628,17.56008,17.14639
SDSSJ012255.08+324725.2,1237678892278743233,20.729517829799,32.7903455223196,7781,301,1,70,STAR,19.77451,18.82487,18.48205,18.3362,18.31569
SDSSJ012229.38+334055.2,1237666214615319548,20.622448601114,33.6820096040186,4829,301,3,166,GALAXY,25.04745,22.10965,20.1622,19.2871,18.79218
WHLJ012229.4+334055,1237666214615319548,20.622448601114,33.6820096040186,4829,301,3,166,GALAXY,25.04745,22.10965,20.1622,19.2871,18.79218
2MASXJ01255989+3319164,1237678806920462644,21.4994768714686,33.3212275699418,7761,301,2,134,GALAXY,20.28465,18.03453,16.9138,16.42196,16.0671
SDSSJ012149.59+325653.2,1237666214614991675,20.4566163466976,32.9481134839933,4829,301,3,161,GALAXY,22.96925,22.17044,21.02753,20.03239,19.53073
SDSSJ012124.61+330645.5,1237678806383198507,20.3525538174419,33.112654712948,7761,301,1,128,STAR,20.89772,19.66771,19.38408,19.25804,18.96829
2MASXJ01244522+3341425,1237666214078448025,21.1884356738137,33.6950872609025,4829,301,2,166,GALAXY,20.0703,18.12681,16.94666,16.45694,16.07022
SDSSJ012448.19+324917.2,1237678892278875079,21.2008206694287,32.821448506488,7781,301,1,72,GALAXY,22.4647,21.26917,19.71275,19.20701,18.83176
SDSSJ012118.10+331215.9,1237678892815418341,20.3254471749516,33.2044479398783,7781,301,2,67,STAR,25.68551,22.02096,21.6436,21.42546,21.66567
SDSSJ012519.77+325407.1,1237678806383592164,21.3323897308211,32.9019986314455,7761,301,1,134,GALAXY,22.56236,21.77438,20.06728,18.96112,18.67703
SDSSJ012602.64+331706.5,1237666213541446404,21.5110030280894,33.2851361472477,4829,301,1,164,GALAXY,24.40022,22.11006,20.45272,19.47993,18.89765
SDSSJ012517.07+333724.2,1237678893352616961,21.3211515268798,33.62340817627,7781,301,3,72,GALAXY,22.84945,21.23752,20.19978,19.29112,18.71514
SDSSJ012559.70+332238.0,1237678806920462797,21.4987655151209,33.3772339862586,7761,301,2,134,STAR,21.49514,20.52838,20.32257,20.20871,20.03052
CGCG502-074,1237666214078054537,21.0454277937849,32.7661865656011,4829,301,2,160,GALAXY,16.7977,15.5334,14.993,14.73206,14.49243
2MASSJ01225656+3246385,1237678892278743091,20.7356814836792,32.7773782817119,7781,301,1,70,STAR,19.05265,17.47961,16.91168,16.71624,16.61002
2MASXJ01211822+3309310,1237678806383198451,20.3258549061143,33.1586668444904,7761,301,1,128,GALAXY,18.10275,16.42097,15.66346,15.29284,15.01112
2MASSJ01244009+3247558,1237666214078054977,21.1670804676353,32.7987606871637,4829,301,2,160,GALAXY,22.9105,20.50646,19.12617,18.56765,18.23073
SDSSJ012304.84+324602.0,1237678892278743477,20.7701975738903,32.7672352041593,7781,301,1,70,STAR,21.649,20.80497,20.46093,20.35566,19.92664
SDSSJ012507.81+333929.5,1237666214078448676,21.2825613723569,33.6582001600824,4829,301,2,166,GALAXY,23.04241,22.50389,21.29493,19.97449,19.6372
2MASXJ01255535+3326144,1237678806920462613,21.4807519791277,33.4372902488792,7761,301,2,134,GALAXY,18.29979,16.46347,15.52752,15.07844,14.71183
SDSSJ012156.18+325354.4,1237666214614990875,20.4841220589726,32.8984490568052,4829,301,3,161,STAR,19.3219,18.20326,17.9942,17.91836,17.92622
2MASSJ01234338+3345589,1237678807457136677,20.9305974904374,33.7665620587301,7761,301,3,131,GALAXY,26.02543,19.68364,18.13944,17.60228,17.26649
WHLJ012114.3+331907,1237678892815418206,20.3094797062939,33.3185309781057,7781,301,2,67,GALAXY,22.99967,21.26171,19.40772,18.67889,18.16759
